Query,original_sexp,table_id
gestandaardiseerd vruchtbaarheidscijfer op ameland,(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0060))))),37201
aantal geboren kinderen per inwoner 2014,(VALUE (37201 (MSR D000128_2 (WHERE (DIM TC 2014JJ00))))),37201
relatief aantal geboortes 2014,(VALUE (37201 (MSR D000128_2 (WHERE (DIM TC 2014JJ00))))),37201
26-jarige moeders in Aarle-Rixtel,(VALUE (37201 (MSR 70600 (WHERE (DIM GC GM0739))))),37201
28-jarige moeders in Aarle Rixtel,(VALUE (37201 (MSR 70600 (WHERE (DIM GC GM0739))))),37201
aantal 2e kinderen in Bemmel,(VALUE (37201 (MSR A019379 (WHERE (DIM GC GM0206))))),37201
geboortes bij ongehuwde moeders in 1988,(VALUE (37201 (MSR 1010 (WHERE (DIM TC 1988JJ00))))),37201
geboortes in de corop Flevoland,(VALUE (37201 (MSR D000128_1 (WHERE (DIM GC CR40))))),37201
geboren kinderen in Flevoland,(VALUE (37201 (MSR D000128_1 (WHERE (DIM GC CR40))))),37201
aantal geboren jongens in Beesel 2018,(VALUE (37201 (MSR 3000 (WHERE (DIM TC 2018JJ00) (DIM GC GM0889))))),37201
geboortes jongetjes Beesel in 2018,(VALUE (37201 (MSR 3000 (WHERE (DIM TC 2018JJ00) (DIM GC GM0889))))),37201
aantal kinderen 3e kind in het gezin in Ambt Delden,(VALUE (37201 (MSR A019380 (WHERE (DIM GC GM0142))))),37201
aantal kinderen derde kind in het gezin in Ambt Delden,(VALUE (37201 (MSR A019380 (WHERE (DIM GC GM0142))))),37201
aantal geboortes in Limburg in 1992,(VALUE (37201 (MSR D000128_4 (WHERE (DIM TC 1992JJ00) (DIM GC PV31))))),37201
hoeveel kinderen zijn er in 1992 in Limburg geboren,(VALUE (37201 (MSR D000128_4 (WHERE (DIM TC 1992JJ00) (DIM GC PV31))))),37201
hoeveel meisjes zijn er in Limburg geboren in 2007,(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2007JJ00) (DIM GC PV31))))),37201
aantal geboortes meisjes 2007 Limburg,(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2007JJ00) (DIM GC PV31))))),37201
vruchtbaarheidscijfer in Ter Aar 1996,(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0480) (DIM TC 1996JJ00))))),37201
gestandaardiseerd vruchtbaarheidscijfer in 1996 in Ter Aar,(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0480) (DIM TC 1996JJ00))))),37201
aantal 30 jarige moeders in oost nederland in 2010,(VALUE (37201 (MSR 70700 (WHERE (DIM TC 2010JJ00) (DIM GC LD02))))),37201
aantal moeders tussen de 30 en 35 in oost-nederland 2010,(VALUE (37201 (MSR 70700 (WHERE (DIM TC 2010JJ00) (DIM GC LD02))))),37201
Overige Westerse migranten in 2010,(VALUE (37296ned (MSR A008188_1 (WHERE (DIM TC 2010JJ00))))),37296ned
demografische druk in 1984,(VALUE (37296ned (MSR D000110_2 (WHERE (DIM TC 1984JJ00))))),37296ned
wat was de totale demografische druk in 1984,(VALUE (37296ned (MSR D000110_2 (WHERE (DIM TC 1984JJ00))))),37296ned
2e generatie niet westerse migranten in 2005,(VALUE (37296ned (MSR A008187_3 (WHERE (DIM TC 2005JJ00))))),37296ned
aantal twintigers in 1973,(VALUE (37296ned (MSR 70501_1 (WHERE (DIM TC 1973JJ00))))),37296ned
hoeveel dertigers waren er in 1973,(VALUE (37296ned (MSR 70501_1 (WHERE (DIM TC 1973JJ00))))),37296ned
hoeveel eerste generatie turken waren er in 2019,(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2019JJ00))))),37296ned
aantal verweduwde personen in 2004,(VALUE (37296ned (MSR 1050 (WHERE (DIM TC 2004JJ00))))),37296ned
hoeveel weduwen waren er in 2004,(VALUE (37296ned (MSR 1050 (WHERE (DIM TC 2004JJ00))))),37296ned
hoeveel 1e generatie turken in 2008,(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2008JJ00))))),37296ned
aantal eerste generatie turken in 2008,(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2008JJ00))))),37296ned
wat was de gemiddelde leeftijd van vrouwen in 2016,(VALUE (37296ned (MSR 4000_2 (WHERE (DIM TC 2016JJ00))))),37296ned
leeftijd vrouwen 2016,(VALUE (37296ned (MSR 4000_2 (WHERE (DIM TC 2016JJ00))))),37296ned
gemiddelde huishoudensgrootte in 2014,(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2014JJ00))))),37296ned
hoe groot was een gezin in 2014,(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2014JJ00))))),37296ned
grootte van huishouden in 2015,(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2015JJ00))))),37296ned
hoeveel personen per huishouden in 2015,(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2015JJ00))))),37296ned
hoeveel bejaarden in 2018,(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00))))),37296ned
welk percentage was senioren in 2018,(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00))))),37296ned
relatief aantal 65 plussers in 2018,(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00))))),37296ned
migratie saldo 2008,(VALUE (37296ned (MSR M000244_1 (WHERE (DIM TC 2008JJ00))))),37296ned
migratiesaldo 2008,(VALUE (37296ned (MSR M000244_1 (WHERE (DIM TC 2008JJ00))))),37296ned
bevolkingsdichtheid 1995,(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1995JJ00))))),37296ned
wat was de dichtheid van de bevolking in 1995,(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1995JJ00))))),37296ned
relatief migratiesaldo in 2006,(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 2006JJ00))))),37296ned
relatief migratie saldo 2006,(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 2006JJ00))))),37296ned
aantal overige correcties in 2016,(VALUE (37296ned (MSR M001497 (WHERE (DIM TC 2016JJ00))))),37296ned
grijze druk op de bevolking in 2019,(VALUE (37296ned (MSR D000116 (WHERE (DIM TC 2019JJ00))))),37296ned
aantal immigranten in 1976,(VALUE (37296ned (MSR M000167 (WHERE (DIM TC 1976JJ00))))),37296ned
hoeveel immigranten waren er in 1976,(VALUE (37296ned (MSR M000167 (WHERE (DIM TC 1976JJ00))))),37296ned
aantal huishoudens van meerdere personen in 1976,(VALUE (37296ned (MSR 1016010 (WHERE (DIM TC 1976JJ00))))),37296ned
aantal jongeren 2020,(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00))))),37296ned
hoeveel tieners in 2020,(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00))))),37296ned
personen jonger dan 20 in 2020,(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00))))),37296ned
wat was de totale bevolkingsgroei in 1988,(VALUE (37296ned (MSR M000101_2 (WHERE (DIM TC 1988JJ00))))),37296ned
bevolkingsgroei 1988,(VALUE (37296ned (MSR M000101_2 (WHERE (DIM TC 1988JJ00))))),37296ned
bevolkingsdichtheid 1994,(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1994JJ00))))),37296ned
wat was de bevolkingsdichtheid in 1994,(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1994JJ00))))),37296ned
overig westerse migranten in 2003,(VALUE (37296ned (MSR A008188_1 (WHERE (DIM TC 2003JJ00))))),37296ned
migranten uit spanje in 2010,(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00))))),37296ned
migranten uit italië in 2010,(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00))))),37296ned
hoeveel migranten uit griekenland in 2010,(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00))))),37296ned
hoeveel migranten uit portugal in 2010,(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00))))),37296ned
relatief migratiesaldo in 1986,(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 1986JJ00))))),37296ned
relatief migratie saldo 1986,(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 1986JJ00))))),37296ned
aantal turkse migranten in 2010,(VALUE (37296ned (MSR H008766_1 (WHERE (DIM TC 2010JJ00))))),37296ned
aantal 65-plussers in 1980,(VALUE (37296ned (MSR 53950_1 (WHERE (DIM TC 1980JJ00))))),37296ned
aantal 70-jarigen in 1980,(VALUE (37296ned (MSR 53950_1 (WHERE (DIM TC 1980JJ00))))),37296ned
hoeveel 2e generatie migranten in 2020,(VALUE (37296ned (MSR 2013357_2 (WHERE (DIM TC 2020JJ00))))),37296ned
hoeveel tweede generatie migranten waren er in 2020,(VALUE (37296ned (MSR 2013357_2 (WHERE (DIM TC 2020JJ00))))),37296ned
totale bevolking in 1966,(VALUE (37296ned (MSR T001038_2 (WHERE (DIM TC 1966JJ00))))),37296ned
grootte van de bevolking in 1966,(VALUE (37296ned (MSR T001038_2 (WHERE (DIM TC 1966JJ00))))),37296ned
aantal overig westerse migranten van de 2e generatie in 2020,(VALUE (37296ned (MSR A008188_3 (WHERE (DIM TC 2020JJ00))))),37296ned
aantal overig niet westerse migranten in 2018,(VALUE (37296ned (MSR A008187_1 (WHERE (DIM TC 2018JJ00))))),37296ned
aantal overig niet-westerse migranten in 2018,(VALUE (37296ned (MSR A008187_1 (WHERE (DIM TC 2018JJ00))))),37296ned
aantal geboren jongens ten opzichte van aantal meisjes in 1970,(VALUE (37422ned (MSR 3000_2 (WHERE (DIM TC 1970JJ00))))),37422ned
verhouding geboortes tussen jongetjes en meisjes 1970,(VALUE (37422ned (MSR 3000_2 (WHERE (DIM TC 1970JJ00))))),37422ned
hoeveel doodgeboren kinderen na een zwangerschap van 28 weken of meer in 1963,(VALUE (37422ned (MSR D003488_1 (WHERE (DIM TC 1963JJ00))))),37422ned
hoeveel 43-jarigen kregen een kind in 1991,(VALUE (37422ned (MSR 70900 (WHERE (DIM TC 1991JJ00))))),37422ned
hoeveel geboortes waren er bij  moeders van 40 tot 45 jaar in 1991,(VALUE (37422ned (MSR 70900 (WHERE (DIM TC 1991JJ00))))),37422ned
hoeveel tweelingen met een van elk geslacht zijn er geboren in 1960,(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00))))),37422ned
hoeveel tweelingen met 1 jongen en 1 meisje zijn er geboren in 1960,(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00))))),37422ned
jongen meisje tweeling 1996,(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00))))),37422ned
aantal doodgeboren kinderen na zwangerschap van 28 weken of meer in 1987,(VALUE (37422ned (MSR D003488_1 (WHERE (DIM TC 1987JJ00))))),37422ned
aantal tienermoeders in 1986,(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 1986JJ00))))),37422ned
hoeveel geboortes bij moeders onder de 20 in 1986,(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 1986JJ00))))),37422ned
hoeveel vrouwen tussen de 30 en 35 zijn bevallen in 1975,(VALUE (37422ned (MSR 70700 (WHERE (DIM TC 1975JJ00))))),37422ned
aantal geboren kinderen in 2005,(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2005JJ00))))),37422ned
hoeveel kinderen zijn er in 2005 geboren,(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2005JJ00))))),37422ned
hoeveel kinderen zijn er dood geboren na 28 weken in 1950 relatief gezien,(VALUE (37422ned (MSR D003488_2 (WHERE (DIM TC 1950JJ00))))),37422ned
hoeveel vrouwen hebben gemiddeld genomen 3 kinderen in 1951,(VALUE (37422ned (MSR D003496 (WHERE (DIM TC 1951JJ00))))),37422ned
hoeveel meerlingen zijn er in 1961 geboren,(VALUE (37422ned (MSR A025238_2 (WHERE (DIM TC 1961JJ00))))),37422ned
hoeveel geboortes met meer dan een kind waren er in 1961,(VALUE (37422ned (MSR A025238_2 (WHERE (DIM TC 1961JJ00))))),37422ned
aantal geboortes in 1964,(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1964JJ00))))),37422ned
hoeveel moeders jonger dan 20 waren er in 2005,(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 2005JJ00))))),37422ned
hoeveel kinderen zijn er in 1968 geboren,(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1968JJ00))))),37422ned
hoeveel gehuwde vrouwen hebben kinderen gebaard in 1997,(VALUE (37422ned (MSR 1020 (WHERE (DIM TC 1997JJ00))))),37422ned
hoeveel moeders tussen de 35 en 40 jaar in 2010,(VALUE (37422ned (MSR 70800 (WHERE (DIM TC 2010JJ00))))),37422ned
hoeveel tweelingen met 2 jongens zijn er geboren in 1988,(VALUE (37422ned (MSR D003483 (WHERE (DIM TC 1988JJ00))))),37422ned
aantal geboren tweelingen met twee jongens in 1988,(VALUE (37422ned (MSR D003483 (WHERE (DIM TC 1988JJ00))))),37422ned
totaal geboortes in 1996,(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1996JJ00))))),37422ned
totaal aantal levend geboren kinderen in 1994,(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1994JJ00))))),37422ned
hoeveel kinderen zijn er levend geboren in 2019,(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2019JJ00))))),37422ned
hoeveel mannen zijn er in 1968 getrouwd,(VALUE (37772ned (MSR 3000_2 (WHERE (DIM TC 1968JJ00))))),37772ned
aantal huwende mannen in 1968,(VALUE (37772ned (MSR 3000_2 (WHERE (DIM TC 1968JJ00))))),37772ned
wat was de gemiddelde leeftijd van eerder ongehuwde vrouwen bij hun huwelijk in 1952,(VALUE (37772ned (MSR 1010_6 (WHERE (DIM TC 1952JJ00))))),37772ned
welke leeftijd hadden mannen gemiddeld bij huwelijken in 1963,(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 1963JJ00))))),37772ned
hoe oud waren verweduwde vrouwen bij hun huwelijk in 1981,(VALUE (37772ned (MSR 1050_6 (WHERE (DIM TC 1981JJ00))))),37772ned
hoeveel vrouwen zijn er in 1989 in het huwelijk getreden,(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00))))),37772ned
hoeveel vrouwen zijn er in 1989 getrouwd,(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00))))),37772ned
aantal huwelijken vrouwen 1989,(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00))))),37772ned
hoeveel ongehuwde vrouwen zijn er in 1964 getrouwd,(VALUE (37772ned (MSR 1010_4 (WHERE (DIM TC 1964JJ00))))),37772ned
hoeveel verweduwde mannen zijn erin 1985 getrouwd,(VALUE (37772ned (MSR 1050_1 (WHERE (DIM TC 1985JJ00))))),37772ned
huwelijken van weduwnaren in 1985,(VALUE (37772ned (MSR 1050_1 (WHERE (DIM TC 1985JJ00))))),37772ned
aantal vrouwen met minimaal 2 huwelijken in 2008,(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 2008JJ00))))),37772ned
hoeveel vrouwen in 2008 zijn minimaal 2 keer getrouwd,(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 2008JJ00))))),37772ned
hoeveel huwelijken zijn er voltrokken in 1958,(VALUE (37772ned (MSR T001221_1 (WHERE (DIM TC 1958JJ00))))),37772ned
totaal huwelijken 1958,(VALUE (37772ned (MSR T001221_1 (WHERE (DIM TC 1958JJ00))))),37772ned
hoeveel vrouwen zijn erin 1961 getrouwd,(VALUE (37772ned (MSR 4000_2 (WHERE (DIM TC 1961JJ00))))),37772ned
totaal aantal huwelijken vrouwen in 1961,(VALUE (37772ned (MSR 4000_2 (WHERE (DIM TC 1961JJ00))))),37772ned
hoeveel ongehuwde vrouwen zijn er in 1993 getrouwd,(VALUE (37772ned (MSR 1010_2 (WHERE (DIM TC 1993JJ00))))),37772ned
hoeveel mannen in 2016 waren minimaal 2 keer getrouwd,(VALUE (37772ned (MSR D003634_1 (WHERE (DIM TC 2016JJ00))))),37772ned
wat was de gemiddelde leeftijd van mannen huwelijkssluitingen in 2017,(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 2017JJ00))))),37772ned
hoeveel eerder ongehuwde mannen zijn er in 1997 getrouwd,(VALUE (37772ned (MSR 1010_1 (WHERE (DIM TC 1997JJ00))))),37772ned
hoe oud waren mannen bij huwelijken in 1957,(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 1957JJ00))))),37772ned
hoeveel vrouwen zijn er in 2015 getrouwd met een vrouw,(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00))))),37772ned
aantal lesbische huwelijken in 2015,(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00))))),37772ned
aantal huwelijkssluitingen tussen vrouwen in 2015,(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00))))),37772ned
op welke gemiddelde leeftijd zijn vrouwen getrouwd in 2021,(VALUE (37772ned (MSR 4000_6 (WHERE (DIM TC 2021JJ00))))),37772ned
hoeveel gescheiden vrouwen zijn er in 2016 getrouwd,(VALUE (37772ned (MSR 1080_4 (WHERE (DIM TC 2016JJ00))))),37772ned
hoeveel vrouwen in 1993 zijn minimaal 2 keer getrouwd,(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 1993JJ00))))),37772ned
op welke leeftijd zijn gescheiden mannen in 1981 getrouwd,(VALUE (37772ned (MSR 1080_5 (WHERE (DIM TC 1981JJ00))))),37772ned
hoeveel anw uitkerningen zijn erin december 2006 uitgegeven,(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 2006MM12))))),37789ksz
hoeveel mensen tot aow leeftijd hadden in oktober 2001 een bijstandsuitkering,(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2001MM10))))),37789ksz
aantal werkloosheidsuitkeringen in januari van 2018,(VALUE (37789ksz (MSR D007076_2 (WHERE (DIM TC 2018MM01))))),37789ksz
hoeveel bijstandsuitkeringen tot aow leeftijd waren er in oktober 2020,(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2020MM10))))),37789ksz
hoeveel mensen kregen een wao uitkering in januari 1999,(VALUE (37789ksz (MSR D000287 (WHERE (DIM TC 1999MM01))))),37789ksz
hoeveel mensen kregen een wao-uitkering in januari 1999,(VALUE (37789ksz (MSR D000287 (WHERE (DIM TC 1999MM01))))),37789ksz
hoeveel aow uitkeringen zijn er in juni 2016 uitgegeven,(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2016MM06))))),37789ksz
hoeveel aow-uitkeringen zijn er in juni 2016 uitgegeven,(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2016MM06))))),37789ksz
aantal anw-uitkeringen 1999,(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 1999JJ00))))),37789ksz
aantal aow-uitkeringen december 2009,(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2009MM12))))),37789ksz
hoeveel aow uitkeringen zijn er uitgegeven in december 2009,(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2009MM12))))),37789ksz
waz uitkeringen juli 2007,(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 2007MM07))))),37789ksz
iow-uitkeringen november 2020,(VALUE (37789ksz (MSR D000235 (WHERE (DIM TC 2020MM11))))),37789ksz
bijstandsuitkeringen tot aow leeftijd februari 2010,(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2010MM02))))),37789ksz
hoeveel mensen kregen een waz uitkering in 2011,(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 2011JJ00))))),37789ksz
totaal aantal arbeidsongeschiktheidsuitkeringen in juni 2008,(VALUE (37789ksz (MSR D000198_2 (WHERE (DIM TC 2008MM06))))),37789ksz
totaal aantal bijstandsuitkeringen vanaf aow leeftijd in 2005,(VALUE (37789ksz (MSR 90200 (WHERE (DIM TC 2005JJ00))))),37789ksz
hoeveel anw uitkeringen in september van 2005,(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 2005MM09))))),37789ksz
hoeveel anw-uitkeringen in 1999,(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 1999JJ00))))),37789ksz
aantal waz-uitkeringen in augustus 1998,(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 1998MM08))))),37789ksz
aantal uitgegeven ioaw uitkeringen in november 2012,(VALUE (37789ksz (MSR D000233 (WHERE (DIM TC 2012MM11))))),37789ksz
hoeveel iow uitkeringen in 2016,(VALUE (37789ksz (MSR D000235 (WHERE (DIM TC 2016JJ00))))),37789ksz
iva uitkeringen in juni van 2015,(VALUE (37789ksz (MSR D000236 (WHERE (DIM TC 2015MM06))))),37789ksz
relatief aantal zuigelingensterfte onder jongens in 2009,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 3000) (DIM TC 2009JJ00))))),37979ned
relatieve zuigelingensterfte mannen in 2009,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 3000) (DIM TC 2009JJ00))))),37979ned
levensverwachting van mannen bij geboorte in 2008,(VALUE (37979ned (MSR M000180 (WHERE (DIM TC 2008JJ00) (DIM Geslacht 3000))))),37979ned
wat was de levensverwachting bij mannen in 2008,(VALUE (37979ned (MSR M000180 (WHERE (DIM TC 2008JJ00) (DIM Geslacht 3000))))),37979ned
zuigelingenstrefte in 1985,(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038) (DIM TC 1985JJ00))))),37979ned
wat was de totale zuigelingensterfte in 1985,(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038) (DIM TC 1985JJ00))))),37979ned
levensverwachting van mannen bij geboorte,(VALUE (37979ned (MSR M000180 (WHERE (DIM Geslacht 3000))))),37979ned
wat was de levensverwachting bij mannen,(VALUE (37979ned (MSR M000180 (WHERE (DIM Geslacht 3000))))),37979ned
relatieve zuigelingensterfte totaal,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht T001038))))),37979ned
totale relatieve zuigelingensterfte,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht T001038))))),37979ned
overleden jongetjes binnen maand na geboorte in 2009,(VALUE (37979ned (MSR M003619_1 (WHERE (DIM TC 2009JJ00) (DIM Geslacht 3000))))),37979ned
overleden jongens binnen 4 weken na geboorte in 2009,(VALUE (37979ned (MSR M003619_1 (WHERE (DIM TC 2009JJ00) (DIM Geslacht 3000))))),37979ned
leeftijd bij overlijden van mannen in 1977,(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht 3000) (DIM TC 1977JJ00))))),37979ned
relatief aantal zuigelingensterfte onder meisjes,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000))))),37979ned
relatieve zuigelingensterfte meisjes,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000))))),37979ned
relatieve zuigelingensterfte vrouwen,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000))))),37979ned
totale zuigelingensterfte,(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038))))),37979ned
gemiddelde leeftijd bij overlijden,(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht T001038) (DIM TC 2005JJ00))))),37979ned
leeftijd overledenen,(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht T001038) (DIM TC 2005JJ00))))),37979ned
relatieve zuigelingensterfte bij meisjes,(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000))))),37979ned
relatief aantal overleden vrouwen,(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 4000))))),37979ned
hoeveel vrouwen zijn er relatief overlednen,(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 4000))))),37979ned
totaal aantal overledenen in 1975,(VALUE (37979ned (MSR M000134_1 (WHERE (DIM TC 1975JJ00) (DIM Geslacht T001038))))),37979ned
hoeveel mensen zijn er in 1975 overleden,(VALUE (37979ned (MSR M000134_1 (WHERE (DIM TC 1975JJ00) (DIM Geslacht T001038))))),37979ned
gestandaardiseerd aantal overledenen in 1965,(VALUE (37979ned (MSR M003618 (WHERE (DIM TC 1965JJ00))))),37979ned
totale zuigelingensterfte in 1956,(VALUE (37979ned (MSR M000181_1 (WHERE (DIM TC 1956JJ00) (DIM Geslacht T001038))))),37979ned
totaal aantal gestandaardiseerd overledenen,(VALUE (37979ned (MSR M003618 (WHERE (DIM Geslacht T001038))))),37979ned
zuigelingensterfte in 1981,(VALUE (37979ned (MSR M000181_1 (WHERE (DIM TC 1981JJ00))))),37979ned
perinatale sterfte na 24 weken in 2018,(VALUE (37979ned (MSR D005088_1 (WHERE (DIM TC 2018JJ00))))),37979ned
relatief overlijden van mannen,(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 3000))))),37979ned
relatief aantal overleden mannen,(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 3000))))),37979ned
perinatale sterfte na 28 weken relatief,(VALUE (37979ned (MSR D005089_2 (WHERE (DIM Geslacht T001038))))),37979ned
aantal nieuwbouwwoningen in flevoland in 2004,(VALUE (70072ned (MSR M003003 (WHERE (DIM TC 2004JJ00) (DIM GC PV24))))),70072ned
hoeveel nieuwbouwwoningen zijn er in flevoland in 2004 gebouwd,(VALUE (70072ned (MSR M003003 (WHERE (DIM TC 2004JJ00) (DIM GC PV24))))),70072ned
